Name,Category,Subcategory,Unit,Track Stock,Minimum Stock,Maximum Stock,Sales Price,Barcode
Star Lager Beer,Drinks,Beer,bottle,true,50,300,500,STAR001NG
Guinness Stout,Drinks,Stout,bottle,true,40,250,600,GUIN002NG
Heineken Beer,Drinks,Beer,bottle,true,45,280,550,HEIN003NG
Trophy Beer,Drinks,Beer,bottle,true,35,220,450,TROP004NG
Origin Wine,Drinks,Wine,bottle,true,20,120,2500,ORIG005NG
Four Cousins Wine,Drinks,Wine,bottle,true,25,150,2800,FOUR006NG
Smirnoff Vodka,Drinks,Spirits,bottle,true,15,100,3500,SMIR007NG
Jameson Whiskey,Drinks,Spirits,bottle,true,12,80,8500,JAME008NG
Baileys Irish Cream,Drinks,Liqueur,bottle,true,10,60,9500,BAIL009NG
Coca-Cola,Drinks,Soft Drinks,bottle,true,60,400,200,COCA010NG
Fanta Orange,Drinks,Soft Drinks,bottle,true,55,380,200,FANT011NG
Sprite,Drinks,Soft Drinks,bottle,true,50,350,200,SPRI012NG
Chapman Cocktail,Drinks,Cocktails,glass,true,0,0,1500,CHAP013NG
Pounded Yam,Food,Main Dish,plate,false,0,0,2500,POUY014NG
Jollof Rice,Food,Main Dish,plate,false,0,0,1800,JOLR015NG
Peppered Snails,Food,Appetizer,plate,false,0,0,3500,PESN016NG
Suya (Beef),Food,Appetizer,plate,false,0,0,2800,SUYA017NG
Pepper Soup,Food,Soup,bowl,false,0,0,2200,PESO018NG
Grilled Fish,Food,Main Dish,plate,false,0,0,4500,GRFI019NG
Plantain Chips,Food,Snacks,pack,true,30,200,800,PLCH020NG
Kilishi,Food,Snacks,pack,true,20,150,1500,KILI021NG
Peanuts,Food,Snacks,bowl,true,25,180,500,PEAN022NG
Ice Cubes,Bar Supplies,Essentials,kg,true,10,100,0,ICE023NG
Lemon/Lime,Bar Supplies,Garnishes,kg,true,5,50,0,LEMO024NG
Cucumber,Bar Supplies,Garnishes,kg,true,3,30,0,CUCU025NG
Mint Leaves,Bar Supplies,Garnishes,bunch,true,10,100,0,MINT026NG
Disposable Cups,Bar Supplies,Consumables,pack,true,20,500,0,DICU027NG
Cocktail Straws,Bar Supplies,Consumables,pack,true,15,400,0,COST028NG
Paper Napkins,Bar Supplies,Consumables,pack,true,30,600,0,PANA029NG
Bitter Kola,Food,Snacks,pack,true,15,100,1200,BIKO030NG
Club Soda,Drinks,Mixers,bottle,true,25,200,300,CLSO031NG
Tonic Water,Drinks,Mixers,bottle,true,20,180,350,TOWA032NG
Orange Juice,Drinks,Juice,liter,true,15,120,1200,ORJU033NG
Pineapple Juice,Drinks,Juice,liter,true,12,100,1200,PIJU034NG
